frog.no,species,svl,jaw,hind.limb,hand,foot,colour,weight,site,transect
43,Rana chalconota,40.7,12,4,0,2,3,3.5,1,IF2
44,Rana chalconota,36,11.2,4,0,2,1,2.5,1,IF2
45,Rana chalconota,35.5,10.8,4,0,2,3,2.5,1,IF2
46,Rana chalconota,44.8,13.7,4,0,2,3,5.3,1,REF3
47,Metaphrynella sundana,16.9,6.8,3,0,0,2,0.5,1,REF3
48,Polypedates macrotis,46.4,15.1,4,0,2,2,4.7,1,REF3
49,Rhacophorus appendiculatus,45.1,16.6,4,0,2,3,4.5,2,REF3
50,Rhacophorus appendiculatus,33.1,11.9,4,0,2,3,2,1,PEF1
51,Rana glandulosa,31.6,18.7,4,0,2,2,10.5,0,PEF1
52,Rhacophorus appendiculatus,30.9,12.8,4,0,2,2,2.1,1,PEF1
53,Rhacophorus appendiculatus,31.6,12,4,0,2,2,1.4,2,PEF1
54,Rana glandulosa,52.4,19.2,4,0,2,2,11.7,0,PEF1
55,Rana chalconota,38.8,11.7,4,0,2,3,3.3,2,PEF1
56,Rana chalconota,38.8,12.2,4,0,2,3,NA,2,PEF1
57,Rana chalconota,45.1,13.6,4,0,2,3,10.1,1,PEF1
58,Rana glandulosa,64.4,22.6,4,0,1,2,17.9,1,PEF1
59,Rana glandulosa,46.6,16.3,4,0,1,2,7.8,1,PEF1
60,Rana glandulosa,52.3,18.9,4,0,1,2,12.9,1,PEF1
61,Rana glandulosa,40.6,15.8,4,0,1,2,3.5,0,PEF4
62,Rana glandulosa,50.7,17.2,4,0,1,2,3.9,0,PEF4
63,Rana chalconota,50.4,13.4,4,0,2,1,7.4,0,PEF4
64,Rana glandulosa,36,13,4,0,1,2,6.2,0,PEF4
65,Rana glandulosa,64.4,19.4,4,0,1,2,18.6,1,PEF4
66,Polypedates macrotis,69.9,24.4,4,0,2,2,22.6,2,PEF4
67,Rana chalconota,44.2,13.1,4,0,2,3,5.1,1,PEF4
68,Rana chalconota,42.4,13.2,4,0,2,3,6.2,1,PEF4
69,Rhacophorus appendiculatus,39.4,16.2,4,0,2,1,5.8,2,REF5
70,Rhacophorus appendiculatus,40.3,14.2,4,0,2,3,4.2,2,REF5
71,Kaloula baleata,52.7,19.9,2,0,0,2,19.9,3,REF5
72,Kaloula pulchra,48.3,18.9,3,0,0,2,14.9,3,REF5
73,Rana chalconota,42.1,11.2,4,0,2,3,2.1,2,REF4
74,Polypedates macrotis,54.5,18.7,4,0,2,2,8.9,2,REF4
75,Rana chalconota,39.4,11.7,4,0,2,3,3.2,2,REF4
76,Microhyla borneensis,15.6,6.3,4,0,2,2,0.8,1,REF4
77,Microhyla perpava,11.6,4.9,4,0,2,2,0.3,1,REF4
78,Rana chalconota,44.5,13.7,4,0,3,2,4,2,REF4
79,Microhyla perpava,13.4,4.8,4,0,2,2,0.4,1,REF4
80,Rana chalconota,19.4,6.3,4,0,2,3,0.4,2,REF4
81,Rhacophorus appendiculatus,46,16.3,4,0,2,3,6.4,2,PEF2
82,Rhacophorus appendiculatus,43.3,16.3,4,0,2,3,5.6,2,PEF2
83,Rhacophorus appendiculatus,28,12.6,4,0,2,3,2.2,2,PEF2
84,Rana chalconota,40.7,12.83,4,0,2,3,5.3,1,REF3
85,Fejervarya limnocharis,53.6,17,4,0,1,3,14.9,0,P1
86,Polypedates leucomystax,39.7,12.5,4,0,2,2,3.5,0,P1
87,Polypedates leucomystax,45.9,13.9,4,0,2,2,4.3,0,P1
88,Rana glandulosa,56,19.2,4,0,1,2,11.9,1,P1
89,Rana glandulosa,43.3,16.3,4,0,1,2,8.9,0,P1
90,Polypedates leucomystax,58,17.5,4,0,2,2,7.9,1,PEF5
91,Polypedates leucomystax,58.2,17,4,0,2,2,11.9,1,PEF5
92,Rana glandulosa,43,14.4,4,0,3,1,5.5,2,PEF5
93,Rana glandulosa,68,22.1,4,0,1,2,21.9,1,PEF5
94,Microhyla borneensis,21,6.4,4,0,0,2,1.1,0,PEF5
95,Rana glandulosa,51.9,19,4,0,1,2,10.9,0,PEF5
96,Polypedates leucomystax,53,17.6,4,0,2,2,11.9,1,PEF5
97,Rana erythraea,57.3,20.2,4,0,2,1,18.9,1,PEF5
98,Polypedates leucomystax,48,14.9,4,0,2,2,6.8,1,PEF5
99,Rana chalconota,35.4,14.5,4,0,2,3,3.4,2,REF3
100,Metaphrynella sundana,19.5,10.4,3,0,0,2,1,2,REF3
101,Kaloula baleata,,,,0,0,2,NA,2,REF3
102,Metaphrynella sundana,22.3,10.5,3,0,0,2,1.8,1,REF3
103,Metaphrynella sundana,17.1,7.5,3,0,0,2,1,1,REF3
104,Rana chalconota,17.6,6.1,4,0,2,2,0.6,1,REF3
105,Microhyla perpava,12.9,6.5,4,0,0,2,0.3,1,REF3
106,Rana chalconota,30,11,4,0,2,2,1.9,1,REF3
107,Rhacophorus appendiculatus,39.3,14.9,4,0,2,3,4.3,2,REF3
108,Rana chalconota,28.3,10.3,4,0,2,3,1.8,2,IF2
109,Microhyla perpava,14.9,6,4,0,3,2,0.6,0,IF2
110,Rhacophorus appendiculatus,31.2,11.7,4,0,2,3,1.8,2,IF2
111,Rana chalconota,26.9,8.9,4,0,2,3,1.4,1,IF2
112,Polypedates macrotis,42.5,15.6,4,0,2,2,5.5,2,IF2
113,Rana chalconota,31.7,10.1,4,0,2,3,2.1,2,IF2
114,Rhacophorus appendiculatus,31.2,11.7,4,0,2,3,1.7,2,IF2
115,Rhacophorus appendiculatus,31.6,12.3,4,0,2,3,2,1,IF2
116,Rana chalconota,36.3,11.8,4,0,2,3,2.8,1,IF2
117,Rana chalconota,36.5,10.5,4,0,2,3,2.7,2,IF2
118,Rana chalconota,28.7,8.9,4,0,2,3,1.5,2,IF2
119,Kaloula baleata,51.8,17.8,3,0,0,2,12.3,1,IF2
120,Rana chalconota,32.9,10.1,4,0,2,3,10,1,IF2
121,Rana glandulosa,52.7,16.6,4,0,1,2,13.7,0,PEF4
122,Rana chalconota,68.6,22.8,4,0,1,2,22.7,0,PEF4
123,Rana chalconota,31.9,14,4,0,2,2,6.2,0,PEF4
124,Rana chalconota,43.2,13.7,4,0,2,3,5.7,1,PEF4
125,Rana glandulosa,62.6,21.7,4,0,1,2,22.7,1,PEF4
126,Rhacophorus appendiculatus,44.8,16.5,4,0,2,3,4.7,1,PEF4
127,Rana glandulosa,62.5,21.9,4,0,1,2,23.7,1,PEF4
128,Rana glandulosa,44.8,16.5,4,0,1,2,8.1,1,PEF4
129,Rhacophorus appendiculatus,38.9,18.1,4,0,2,1,4.1,2,PEF4
130,Rana chalconota,43.2,14.3,4,0,2,3,5.4,2,P3
131,Rana glandulosa,50.8,17.1,4,0,1,2,10,0,P3
132,Rana glandulosa,55.9,18.6,4,0,1,2,14,1,P3
133,Rana chalconota,40.7,11.3,4,0,2,2,4,0,P3
134,Rana glandulosa,60.4,23.5,4,0,1,2,20,0,P3
135,Rana glandulosa,51,20.9,4,0,1,2,16,0,P3
136,Rana glandulosa,50.7,18.5,4,0,1,2,11,0,P3
137,Rana glandulosa,53.3,18.9,4,0,1,2,12,0,P3
138,Rana glandulosa,47.7,15.8,4,0,1,2,8.1,0,P3
139,Rana glandulosa,52.8,19.7,4,0,1,2,19,0,P3
140,Rana chalconota,37.7,11.3,4,0,2,1,3.7,0,P3
141,Fejervarya limnocharis,38.9,13.5,4,0,1,3,5.3,0,P2
142,Rana glandulosa,45.8,15.6,4,0,1,2,5,0,P2
